course_code,title,description,source
ENGN 0010," Introduction to Engineering: Design, Materials, and Structures","The purpose of the course is to introduce students to the profession of engineering and the important role engineers play in society, as well as to provide a foundation for further study in engineering. The course begins with the consideration of engineering design and introduces a number of tools that are fundamental to engineering. These include vectors, computer aided design (CAD), and basic programming (Matlab). Particular attention is then focused on mechanics of materials and the analysis of static structures, but topics also include professional ethics and the social responsibility of engineers. Led by an undergraduate mentor/TA, students will complete three group design projects over the course of the semester related to the core course content.ENGN 0010should be taken by students considering concentrating in engineering as well as students just curious about engineering and design.FallENGN0010S0119458Arranged(K. Haberstroh)",Bulletin
ENGN 0020, Transforming Society-Technology and Choices for the Future,"This course will address the impact that technology has on society, the central role of technology on many political issues, and the need for all educated individuals to understand basic technology and reach an informed opinion on a particular topic of national or international interest. The course will begin with a brief history of technology.",Bulletin
ENGN 0030, Introduction to Engineering,"ENGN 0030introduces students to the engineering profession and the important role engineers play in society, providing a foundation for further study in the field. The course will familiarize students with important engineering software tools, including MATLAB programming and CAD design (Solidworks). The course will also provide exposure to the BDW and the different engineering disciplines offered at Brown. Students will choose two five-week modules from subject areas including wearable sensors, decarbonization, batteries, wireless data links, mechanisms, and product design concepts.FallENGN0030S0110285MWF9:00-9:50(03)(D. Mittleman)FallENGN0030S0216987MWF9:00-9:50(03)(Y. Qi)FallENGN0030S0316988MWF9:00-9:50(03)(M. Gray)FallENGN0030S0416989MWF2:00-2:50(03)(F. Goldsmith)FallENGN0030S0518473MWF2:00-2:50(03)(I. Stuopis)FallENGN0030S0618474MWF2:00-2:50(03)(I. Gonsher)FallENGN0030C0116991T9:00-10:20(M. Laderer)FallENGN0030C0216992T9:00-10:20(M. Laderer)FallENGN0030C0316993T10:30-11:50(M. Laderer)FallENGN0030C0416994T10:30-11:50(M. Laderer)FallENGN0030C0516995T1:00-2:20(M. Laderer)FallENGN0030C0616996T1:00-2:20(M. Laderer)FallENGN0030C0716997T2:30-3:50(I. Stuopis)FallENGN0030C0816998T2:30-3:50(I. Stuopis)FallENGN0030C0918475Th9:00-10:20(I. Stuopis)FallENGN0030C1018476Th9:00-10:20(I. Stuopis)FallENGN0030C1118477Th10:30-11:50(I. Stuopis)FallENGN0030C1218478Th10:30-11:50(I. Stuopis)FallENGN0030C1319198Th1:00-2:20(I. Stuopis)FallENGN0030C1419199Th1:00-2:20(I. Stuopis)FallENGN0030C1519200Th2:30-3:50(M. Laderer)",Bulletin
ENGN 0031, Honors Introduction to Engineering,"ENGN 0031introduces students to engineering and the important role engineers play in society, but with a greater emphasis on calculus-driven instruction and computational approaches using MATLAB and Mathematica. Technical topics include case studies across multiple engineering disciplines, static equilibrium, structural analysis, introductory robot kinematics, energy methods, CAD, professional ethics, and social responsibility. Students will also participate in group design projects which apply concepts from lectures. Students who completeENGN 0031may substitute an approved engineering or computer science course in place ofCSCI 0111. Students are advised to concurrently enroll inMATH 0180/0190, or a higher MATH course.",Bulletin
ENGN 0032, Introduction to Engineering: Design,"This course is an introduction to the engineering profession with an emphasis on design. It is a project-based class which consists of three major design projects. Working in small groups, students leverage the design process and engineering discipline to present solutions to three design briefs. In weekly studio sessions, students will learn different tools (e.g., Matlab) associated with engineering and design.ENGN 0032provides the foundation for further study in engineering. This class is designed for students who have a strong interest in design or are unsure of their interest in engineering. Students should have a math background (AB calculus).",Bulletin
ENGN 0040, Engineering Statics and Dynamics,"A broad introduction to Newtonian dynamics of particles and rigid bodies with applications to engineering design. Concepts include statics of structures; kinematics and dynamics of particles and rigid bodies; conservation laws; and use of MATLAB to solve equations of motion and optimize engineering designs. Examples of applications are taken from all engineering disciplines. Lectures, recitation, and team design projects, including use of Brown Design Workshop.SprENGN0040S0126209TTh9:00-10:20(05)(I. Stuopis)SprENGN0040S0226357TTh2:30-3:50(11)(R. Zenit)SprENGN0040C0126210M9:00-9:50(M. Bessa)SprENGN0040C0226211W9:00-9:50(K. Alkhoury)SprENGN0040C0326212F9:00-9:50(A. Gupta)SprENGN0040C0426976M1:00-1:50(M. Bessa)SprENGN0040C0526977W1:00-1:50(K. Alkhoury)SprENGN0040C0626978F1:00-1:50(A. Gupta)",Bulletin
ENGN 0061, Undergraduate Teaching Assistant Apprenticeship: Full Credit,"Being an undergraduate TA is a learning and rewarding experience: Students get a deeper understanding of the course material and gain valuable management, mentoring, and social skills that they can take with them well into the future. Students taking this course must first be selected as an Undergraduate TA for an undergraduate Engineering course. Students can expect to work closely with the course instructor(s) on a variety of course-related topics, including preparation of material and development of assignments. A report on course development outcomes is expected as part of the course credit requirements.FallENGN0061S0117005Arranged(G. Palmore)SprENGN0061S0125908Arranged(G. Palmore)",Bulletin
ENGN 0062, Undergraduate Teaching Assistant Apprenticeship: Half Credit,"Being an undergraduate TA is a learning and rewarding experience: Students get a deeper understanding of the course material and gain valuable management, mentoring, and social skills that they can take with them well into the future. Students taking this course must first be selected as an Undergraduate TA for an undergraduate Engineering course. Students can expect to work closely with the course instructor(s) on a variety of course-related topics, including preparation of material and development of assignments. A report on course development outcomes is expected as part of the course credit requirements.FallENGN0062S0117006Arranged(G. Palmore)SprENGN0062S0125909Arranged(G. Palmore)",Bulletin
ENGN 0090, Management of Industrial and Nonprofit Organizations,"Exposes students to the concepts and techniques of management. Topics include marketing, strategy, finance, operations, organizational structure, and human relations. Guest lecturers describe aspects of actual organizations. Lectures and discussions.FallENGN0090S0117008TTh1:00-2:20(18)(T. Chaltas)FallENGN0090S0217009TTh2:30-3:50(18)(T. Chaltas)",Bulletin
ENGN 0110, Lean LaunchPad,"The Lean LaunchPad (LLP) is a Wintersession course on how to build a startup using lean startup tools and frameworks. It is a hands-on, intensive, experiential course designed for student teams who are serious about pursuing a startup. The course teaches development of relationships with customers, suppliers, communications providers and other enablers of the business with immediate feedback, requiring students to get out of the building and test their business hypotheses through multiple in person meetings. The Business Model Canvas is the scorecard for contact effectiveness and for development of the ecosystem of contacts which will make the business viable.",Bulletin
